DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Vict Age	Vict Sex	Vict Descent	LAT	LON
220207142	03/12/2022 12:00:00 AM	01/15/2020 12:00:00 AM	800	2	Rampart	235	2	860	8	F	O	34.0702	-118.2741
222019482	12/20/2022 12:00:00 AM	12/20/2020 12:00:00 AM	1330	20	Olympic	2056	2	745	-1	Others	X	34.0509	-118.2937
221916494	11/02/2022 12:00:00 AM	11/02/2020 12:00:00 AM	1225	19	Mission	1994	2	940	21	M	H	34.2184	-118.4547
220917796	12/28/2022 12:00:00 AM	11/01/2020 12:00:00 AM	1735	9	Van Nuys	926	2	354	40	M	W	34.1903	-118.4399
210705163	12/26/2020 12:00:00 AM	12/18/2020 12:00:00 AM	1830	7	Wilshire	734	1	440	22	M	W	34.0662	-118.3506
232108067	04/17/2023 12:00:00 AM	04/17/2020 12:00:00 AM	955	21	Topanga	2133	2	354	45	M	B	34.2102	-118.6355
222005167	01/06/2022 12:00:00 AM	12/01/2020 12:00:00 AM	1945	20	Olympic	2001	2	354	53	M	O	34.0817	-118.3206
221004454	01/13/2022 12:00:00 AM	01/14/2020 12:00:00 AM	600	10	West Valley	1015	2	354	43	M	W	34.2068	-118.5197
221709079	03/21/2022 12:00:00 AM	01/22/2020 12:00:00 AM	800	17	Devonshire	1745	2	354	43	F	H	34.2591	-118.5233
232104840	01/18/2023 12:00:00 AM	12/01/2020 12:00:00 AM	1200	21	Topanga	2101	2	627	14	F	O	34.2393	-118.609
